d_codigo|d_asenta|d_tipo_asenta|D_mnpio|d_estado|d_ciudad|d_CP|c_estado|c_oficina|c_tipo_asenta|c_mnpio|id_asenta_cpcons|d_zona|c_cve_ciudad|c_CP
20110|Valle del Campestre|Fraccionamiento|Aguascalientes|Aguascalientes|Aguascalientes|20001|01|20001|21|001|0067|Urbano|01|
20110|Villas de Montenegro|Fraccionamiento|Aguascalientes|Aguascalientes|Aguascalientes|20001|01|20001|21|001|0068|Urbano|01|
20110|Las Cavas|Fraccionamiento|Aguascalientes|Aguascalientes|Aguascalientes|20001|01|20001|21|001|1058|Urbano|01|
20110|La Enramada|Fraccionamiento|Aguascalientes|Aguascalientes|Aguascalientes|20001|01|20001|21|001|1408|Urbano|01|
20115|Trojes de Oriente|Fraccionamiento|Aguascalientes|Aguascalientes|Aguascalientes|20001|01|20001|21|001|0069|Urbano|01|
20115|Valle de las Trojes|Fraccionamiento|Aguascalientes|Aguascalientes|Aguascalientes|20001|01|20001|21|001|0072|Urbano|01|
20115|Villas de San Nicol�s|Fraccionamiento|Aguascalientes|Aguascalientes|Aguascalientes|20001|01|20001|21|001|0073|Urbano|01|
20115|San Telmo|Fraccionamiento|Aguascalientes|Aguascalientes|Aguascalientes|20001|01|20001|21|001|0347|Urbano|01|
20115|La Paloma|Condominio|Aguascalientes|Aguascalientes|Aguascalientes|20001|01|20001|10|001|1075|Urbano|01|
20115|Barrio de Santiago|Fraccionamiento|Aguascalientes|Aguascalientes|Aguascalientes|20001|01|20001|21|001|1370|Urbano|01|
20115|Villa de las Trojes|Fraccionamiento|Aguascalientes|Aguascalientes|Aguascalientes|20001|01|20001|21|001|1383|Urbano|01|
20115|Valle de Santa Teresa|Fraccionamiento|Aguascalientes|Aguascalientes|Aguascalientes|20001|01|20001|21|001|1409|Urbano|01|
20116|La Troje|Fraccionamiento|Aguascalientes|Aguascalientes|Aguascalientes|20001|01|20001|21|001|0074|Urbano|01|
20116|Trojes de Alonso|Colonia|Aguascalientes|Aguascalientes|Aguascalientes|20001|01|20001|09|001|0075|Urbano|01|
20116|San Telmo Residencial|Fraccionamiento|Aguascalientes|Aguascalientes|Aguascalientes|20001|01|20001|21|001|0348|Urbano|01|
20116|Santa Fe|Condominio|Aguascalientes|Aguascalientes|Aguascalientes|20001|01|20001|10|001|1380|Urbano|01|
